station,sta_lat,sta_lon,since,school,type,address,dist_km
R1796,61.1981981981982,-149.91291617029023,2023-10-04,Romig Middle School,Middle,2500 Minnesota Dr,0.12
R58FB,61.2072072072072,-149.8866542705253,2023-10-03,Central Middle School of Science (7-8),Middle,1405 E St,0.17
R5118,61.18918918918919,-149.83716733989505,2024-08-17,Rilke Schule German Charter School,Charter,3331 Lake Otis Pkwy,0.19
R1DCD,61.18918918918919,-149.8358896609148,2023-10-03,Rilke Schule German Charter School,Charter,3331 Lake Otis Pkwy,0.2
R1DCD,61.18918918918919,-149.8358896609148,2023-10-03,"McLaughlin Secondary School, 7-12",Alternative,2600 Providence Dr,0.29
R064A,61.2072072072072,-149.88332223838682,2024-10-24,Central Middle School of Science (7-8),Middle,1405 E St,0.32
R1796,61.1981981981982,-149.91291617029023,2023-10-04,West High School,High,1700 Hillcrest Dr,0.33
R5118,61.18918918918919,-149.83716733989505,2024-08-17,"McLaughlin Secondary School, 7-12",Alternative,2600 Providence Dr,0.34
RACC3,61.0990990990991,-149.80191250156022,2024-10-31,South Anchorage High School,High,13400 Elmore Rd,0.38
R3381,61.0990990990991,-149.80191250156022,2023-10-03,South Anchorage High School,High,13400 Elmore Rd,0.38
R58FB,61.2072072072072,-149.8866542705253,2023-10-03,Chugach Optional Elementary School,Elementary,1205 E St,0.4
R55D5,61.2072072072072,-149.73558417798006,2023-11-22,Begich Middle School,Middle,7440 Creekside Center Dr,0.41
R7519,61.1981981981982,-149.79010425047113,2023-10-03,Winterberry Charter School (K-8),Charter,4802 Bryn mawr Ct,0.42
S909E,61.18018018018018,-149.92455875891974,2024-04-06,Northwood ABC Elementary School,Elementary,4807 Northwood Dr,0.43
R6C15,61.18018018018018,-149.92455875891974,2024-04-12,Northwood ABC Elementary School,Elementary,4807 Northwood Dr,0.43
RFD97,61.1981981981982,-149.9449437586522,2024-08-21,Turnagain Elementary School,Elementary,3500 W Northern Lights Blvd,0.44
RDCA5,61.08108108108108,-149.77337835820327,2022-10-08,Goldenview Middle School,Middle,15800 Golden View Dr,0.44
R1DCD,61.18918918918919,-149.8358896609148,2023-10-03,Alaska Middle College School (8-12),Alternative,2650 E Northern Lights Blvd,0.45
R3130,61.1981981981982,-149.90658980942584,2023-10-03,Romig Middle School,Middle,2500 Minnesota Dr,0.45
R8F48,61.18018018018018,-149.92170523250203,2024-05-09,Northwood ABC Elementary School,Elementary,4807 Northwood Dr,0.46
R417B,61.11711711711712,-149.77449594493862,2023-06-26,O'Malley Elementary School,Elementary,11100 Rockridge Dr,0.46
S8E18,61.13513513513514,-149.77778629235678,2023-10-04,Service High School,High,5577 Abbott Rd,0.46
R8A16,61.2972972972973,-149.56421306209154,2023-10-03,Eagle River High School,High,8701 Wolf Den Dr,0.46
R5118,61.18918918918919,-149.83716733989505,2024-08-17,Alaska Middle College School (8-12),Alternative,2650 E Northern Lights Blvd,0.48
R064A,61.2072072072072,-149.88332223838682,2024-10-24,Chugach Optional Elementary School,Elementary,1205 E St,0.51
RE64F,60.96396396396396,-149.1254363494606,2023-10-02,Girdwood (K-8),Elementary,680 Hightower Rd,0.52
R7519,61.1981981981982,-149.79010425047113,2023-10-03,Russian Jack Elementary School,Elementary,4300 E 20th Ave,0.58
RA110,61.1981981981982,-149.9555513371914,2024-11-07,Turnagain Elementary School,Elementary,3500 W Northern Lights Blvd,0.59
R9286,61.1981981981982,-149.9555513371914,2023-05-17,Turnagain Elementary School,Elementary,3500 W Northern Lights Blvd,0.59
R3130,61.1981981981982,-149.90658980942584,2023-10-03,West High School,High,1700 Hillcrest Dr,0.6
R9EA1,61.12612612612612,-149.92169953741097,2023-10-03,Mears Middle School,Middle,2700 W 100th Ave,0.61
RC9C7,61.3063063063063,-149.5301712175545,2023-10-04,Alpenglow Elementary School,Elementary,19201 Driftwood Bay Dr,0.63
R2A1A,61.18918918918919,-149.89041018264606,2025-03-26,Frontier Charter School (K-12),Charter,400 W Northern Lights Blvd,0.63
R4E98,61.16216216216216,-149.86798716653553,2023-02-25,Taku Elementary School,Elementary,701 72nd Ave,0.64
R99CF,61.11711711711712,-149.80818109157372,2024-08-04,Huffman Elementary School,Elementary,12000 Lorraine St,0.64
R1796,61.1981981981982,-149.91291617029023,2023-10-04,Aquarian Charter School (K-6),Charter,1705 W 32nd Ave,0.68
R55D5,61.2072072072072,-149.73558417798006,2023-11-22,Chester Valley Elementary School,Elementary,1751 Patterson St,0.68
R064A,61.2072072072072,-149.88332223838682,2024-10-24,Denali Montessori School,Elementary,952 Cordova St,0.69
R4017,61.13513513513514,-149.931698481745,2023-10-02,Mears Middle School,Middle,2700 W 100th Ave,0.69
R3130,61.1981981981982,-149.90658980942584,2023-10-03,North Star Elementary School,Elementary,605 W Fireweed Ln,0.71
R7519,61.1981981981982,-149.79010425047113,2023-10-03,College Gate Elementary School,Elementary,3101 Sunflower St,0.71
RF528,61.21621621621622,-149.80600087454445,2023-10-05,Williwaw Elementary School,Elementary,1200 San Antonio St,0.72
R0087,61.18018018018018,-149.8447482250822,2022-06-09,Tudor Elementary School,Elementary,1666 Cache Dr,0.73
R58FB,61.2072072072072,-149.8866542705253,2023-10-03,Denali Montessori School,Elementary,952 Cordova St,0.74
R032E,61.07207207207207,-149.77183906903977,2023-10-04,Goldenview Middle School,Middle,15800 Golden View Dr,0.75
S8E18,61.13513513513514,-149.77778629235678,2023-10-04,Trailside Elementary School,Elementary,5151 Abbott Rd,0.75
R2252,61.18918918918919,-149.81957048279477,2023-06-09,"McLaughlin Secondary School, 7-12",Alternative,2600 Providence Dr,0.76
RD3C9,61.22522522522522,-149.72020302584193,2023-10-02,Muldoon Elementary School,Elementary,525 Cherry St,0.77
R254E,61.18918918918919,-149.81909495809575,2023-10-03,"McLaughlin Secondary School, 7-12",Alternative,2600 Providence Dr,0.78
RF528,61.21621621621622,-149.80600087454445,2023-10-05,Clark Middle School,Middle,150 Bragaw St,0.8
R4E98,61.16216216216216,-149.86798716653553,2023-02-25,"Polaris, K-12",Alternative,6200 Ashwood St,0.81
R2252,61.18918918918919,-149.81957048279477,2023-06-09,Alaska Middle College School (8-12),Alternative,2650 E Northern Lights Blvd,0.81
R9CCB,61.12612612612612,-149.8182845757453,2023-10-02,Hanshew Middle School,Middle,10121 Lake Otis Pkwy,0.81
R254E,61.18918918918919,-149.81909495809575,2023-10-03,Alaska Middle College School (8-12),Alternative,2650 E Northern Lights Blvd,0.83
R8224,61.3963963963964,-149.45104534922152,2023-10-02,Chugiak Elementary School,Elementary,19932 Old Glenn Hwy,0.83
R2252,61.18918918918919,-149.81957048279477,2023-06-09,"King Tech High School, 10-12",Alternative,2650 E Northern Lights Blvd,0.83
S57EA,61.42342342342342,-149.41129797673267,2023-10-03,Mirror Lake Middle School,Middle,22901 Lake Hill Dr,0.85
R4017,61.13513513513514,-149.931698481745,2023-10-02,Chinook Elementary School,Elementary,3101 88th Ave,0.85
R254E,61.18918918918919,-149.81909495809575,2023-10-03,"King Tech High School, 10-12",Alternative,2650 E Northern Lights Blvd,0.86
R4017,61.13513513513514,-149.931698481745,2023-10-02,Dimond High School,High,2909 W 88th Ave,0.88
R4E98,61.16216216216216,-149.86798716653553,2023-02-25,"SAVE High School, 11-12",Alternative,410 E 56th Ave,0.9
RC9C7,61.3063063063063,-149.5301712175545,2023-10-04,Gruening Middle School,Middle,9601 Lee St,0.96
R2A1A,61.18918918918919,-149.89041018264606,2025-03-26,"Steller Secondary School, 7-12",Alternative,2508 Blueberry Rd,0.96
R0087,61.18018018018018,-149.8447482250822,2022-06-09,"McLaughlin Secondary School, 7-12",Alternative,2600 Providence Dr,0.98
R9CCB,61.12612612612612,-149.8182845757453,2023-10-02,Spring Hill Elementary School,Elementary,9911 Lake Otis Pkwy,0.98
R8F48,61.18018018018018,-149.92170523250203,2024-05-09,Willow Crest Elementary School,Elementary,1004 W Tudor Rd,1.0
R9EA1,61.12612612612612,-149.92169953741097,2023-10-03,Bayshore Elementary School,Elementary,10500 Bayshore Dr,1.0
R55D5,61.2072072072072,-149.73558417798006,2023-11-22,Susitna Elementary School,Elementary,7500 Tyone Ct,1.01
RD3C9,61.22522522522522,-149.72020302584193,2023-10-02,Bartlett High School,High,1101 Golden Bear Dr,1.06
S909E,61.18018018018018,-149.92455875891974,2024-04-06,Willow Crest Elementary School,Elementary,1004 W Tudor Rd,1.15
R28F8,61.11711711711712,-149.79030792590845,2025-05-15,Huffman Elementary School,Elementary,12000 Lorraine St,1.15
RFA03,61.11711711711712,-149.74795511350135,2023-09-15,O'Malley Elementary School,Elementary,11100 Rockridge Dr,1.15
R6C15,61.18018018018018,-149.92455875891974,2024-04-12,Willow Crest Elementary School,Elementary,1004 W Tudor Rd,1.15
RF528,61.21621621621622,-149.80600087454445,2023-10-05,Wonder Park Elementary School,Elementary,5101 E 4th Ave,1.16
R2A1A,61.18918918918919,-149.89041018264606,2025-03-26,North Star Elementary School,Elementary,605 W Fireweed Ln,1.17
