net,sta,lat,lon,site,rail_km,yard_km,anc_rwy_km,jber_rwy_km
AM,R1796,61.2,-149.91,,0.94,2.46,3.68,6.7
AM,R58FB,61.21,-149.89,,1.62,1.62,5.3,5.13
AM,R5118,61.19,-149.84,,4.07,3.72,6.32,6.11
AM,R1DCD,61.19,-149.84,,4.09,3.73,6.39,6.08
AM,R064A,61.21,-149.88,,1.64,1.62,5.41,5.05
AM,RACC3,61.1,-149.8,,2.34,3.86,11.09,15.65
AM,R3381,61.1,-149.8,,2.34,3.86,11.09,15.65
AM,R55D5,61.21,-149.74,,4.03,5.13,12.11,4.78
AM,R7519,61.2,-149.79,,4.28,3.85,9.03,4.65
AM,S909E,61.18,-149.92,,0.41,1.63,1.72,8.73
AM,R6C15,61.18,-149.92,,0.41,1.63,1.72,8.73
AM,RFD97,61.2,-149.94,,0.72,2.66,3.16,7.77
AM,RDCA5,61.08,-149.77,,2.89,3.11,13.58,17.68
AM,R3130,61.2,-149.91,,1.24,2.42,3.86,6.52
AM,R8F48,61.18,-149.92,,0.27,1.53,1.83,8.65
AM,R417B,61.12,-149.77,,4.75,5.02,10.98,13.68
AM,S8E18,61.14,-149.78,,5.0,5.0,9.9,11.68
AM,R8A16,61.3,-149.56,,3.68,3.91,24.94,12.87
AM,RE64F,60.96,-149.13,,3.22,3.27,49.58,47.07
AM,RA110,61.2,-149.96,,1.28,2.58,3.0,8.17
AM,R9286,61.2,-149.96,,1.28,2.58,3.0,8.17
AM,R9EA1,61.13,-149.92,,2.75,2.48,5.05,14.22
AM,RC9C7,61.31,-149.53,,4.86,4.86,27.01,14.91
AM,R2A1A,61.19,-149.89,,1.65,2.36,3.77,7.05
AM,R4E98,61.16,-149.87,,0.88,0.89,4.38,9.52
AM,R99CF,61.12,-149.81,,3.17,3.22,9.51,13.67
AM,R4017,61.14,-149.93,,3.2,2.89,3.95,13.44
AM,RF528,61.22,-149.81,,2.14,1.97,9.19,2.73
AM,R0087,61.18,-149.84,,3.16,3.16,5.66,7.19
AM,R032E,61.07,-149.77,,2.27,2.35,14.38,18.68
AM,R2252,61.19,-149.82,,4.43,3.94,7.21,5.81
AM,RD3C9,61.23,-149.72,,2.99,3.69,13.66,4.25
AM,R254E,61.19,-149.82,,4.44,3.95,7.24,5.81
AM,R9CCB,61.13,-149.82,,2.76,2.76,8.48,12.71
AM,R8224,61.4,-149.45,,3.26,3.2,36.6,23.61
AM,S57EA,61.42,-149.41,,2.29,3.74,40.21,27.17
AM,R28F8,61.12,-149.79,,4.06,4.17,10.28,13.65
AM,RFA03,61.12,-149.75,,5.84,6.43,12.21,13.86
AM,RDB8A,61.12,-149.75,,5.86,6.46,12.23,13.87
AK,ER01,61.32,-149.54,"Skyline Family Fellowship, Eagle River, ",3.56,3.56,27.67,15.13
AK,ER02,61.32,-149.57,"Eagle River Fire Station 11, Eagle River",2.35,2.35,25.89,13.3
AK,ER03,61.31,-149.55,"Homestead School, Eagle River (establish",3.69,3.69,26.82,14.43
AK,ER04,61.35,-149.55,"Fire Lake School, Eagle River (establish",2.15,2.04,28.96,16.07
AK,FIRE,61.14,-150.22,"Fire Island, AK, USA",13.11,14.14,9.69,23.12
AK,GHO,61.77,-148.93,"Gloryhole, AK, USA",23.35,29.64,86.08,73.1
AK,K203,61.22,-149.75,"Anchorage, St Christopher Episcopal Chur",2.53,3.61,12.21,3.4
AK,K204,61.18,-150.01,"Anchorage, Signature Flight Support, AK,",1.67,2.72,0.53,12.06
AK,K205,61.2,-149.92,"Anchorage, West High School, AK, USA",0.82,2.37,3.7,6.69
AK,K208,61.18,-149.92,"Anchorage, Spenard Recreation Center, AK",0.26,1.21,1.6,9.03
AK,K209,61.18,-149.75,"Anchorage, Scenic Park Bible Church, AK,",6.2,6.56,10.88,6.63
AK,K210,61.13,-149.93,"Anchorage, Mears Jr High School, AK, USA",3.22,2.89,4.6,14.05
AK,K211,61.15,-149.86,"Anchorage, Fire Department HQ 12, AK, US",0.86,1.27,5.36,10.66
AK,K212,61.16,-149.79,"Anchorage, BLM Office, AK, USA",4.35,4.53,8.43,9.37
AK,K213,61.11,-149.86,"Anchorage, ASD Operation Center, AK, USA",0.42,0.45,7.91,14.56
AK,K214,61.12,-149.77,"Anchorage, OMalley Fire Station, AK, USA",5.43,5.45,10.94,13.01
AK,K215,61.09,-149.75,"Anchorage, Rabbit Creek Fire Station, AK",4.1,4.23,14.01,17.22
AK,K216,61.1,-149.69,"Anchorage, AT&T Surface and Borehole, AK",7.66,7.7,16.1,16.76
AK,K217,61.4,-149.52,"Chugiak Fire Station, AK, USA",0.3,0.82,34.15,21.02
AK,K218,61.59,-149.13,"Palmer, National Tsunami Warning Center,",0.86,7.18,64.05,50.92
AK,K220,61.15,-150.06,"Anchorage, Kincaid Park, AK, USA",4.6,5.57,1.67,15.41
AK,K221,61.15,-149.95,"Anchorage, St. James Orthodox Church, AK",2.4,2.45,1.92,12.11
AK,K222,61.09,-149.84,"Anchorage, Chapel by the Sea, AK, USA",0.1,3.3,10.91,17.08
AK,K223,61.23,-149.87,"Anchorage, Government Hill Elem. School,",0.83,0.64,8.31,2.06
AK,MS01,61.58,-149.49,"Burchell High School, Wasilla (establish",0.21,4.29,50.56,38.76
AK,MS02,61.59,-149.77,"Houston High School, Houston (establishe",0.85,3.66,45.31,36.47
AK,MS03,61.61,-149.3,"Finger Lake School, Wasilla (established",4.64,6.85,59.2,46.54
AK,RC01,61.09,-149.74,"Rabbit Creek, AK, USA",4.82,4.92,14.35,17.03
AK,SSN,61.46,-150.75,"Susitna, AK, USA",47.81,52.28,48.89,53.83
