station,time,duration_sec,event_id,depot_time_local,offset_min,direction,name
K205,2026-05-11T17:53:00,120,glacier_discovery_out_2026-05-11,09:45,8,south,"Glacier Discovery, Anchorage -> Whittier / Spencer"
R1796,2026-05-11T17:53:00,120,glacier_discovery_out_2026-05-11,09:45,8,south,"Glacier Discovery, Anchorage -> Whittier / Spencer"
K208,2026-05-11T17:54:00,120,glacier_discovery_out_2026-05-11,09:45,9,south,"Glacier Discovery, Anchorage -> Whittier / Spencer"
R6C15,2026-05-11T17:54:00,120,glacier_discovery_out_2026-05-11,09:45,9,south,"Glacier Discovery, Anchorage -> Whittier / Spencer"
R8F48,2026-05-11T17:54:00,120,glacier_discovery_out_2026-05-11,09:45,9,south,"Glacier Discovery, Anchorage -> Whittier / Spencer"
S909E,2026-05-11T17:54:00,120,glacier_discovery_out_2026-05-11,09:45,9,south,"Glacier Discovery, Anchorage -> Whittier / Spencer"
K222,2026-05-11T18:15:00,120,glacier_discovery_out_2026-05-11,09:45,30,south,"Glacier Discovery, Anchorage -> Whittier / Spencer"
K222,2026-05-12T04:45:00,120,glacier_discovery_back_2026-05-11,21:15,-30,south_arrival,"Glacier Discovery, Whittier -> Anchorage"
K208,2026-05-12T05:06:00,120,glacier_discovery_back_2026-05-11,21:15,-9,south_arrival,"Glacier Discovery, Whittier -> Anchorage"
R6C15,2026-05-12T05:06:00,120,glacier_discovery_back_2026-05-11,21:15,-9,south_arrival,"Glacier Discovery, Whittier -> Anchorage"
R8F48,2026-05-12T05:06:00,120,glacier_discovery_back_2026-05-11,21:15,-9,south_arrival,"Glacier Discovery, Whittier -> Anchorage"
S909E,2026-05-12T05:06:00,120,glacier_discovery_back_2026-05-11,21:15,-9,south_arrival,"Glacier Discovery, Whittier -> Anchorage"
K205,2026-05-12T05:07:00,120,glacier_discovery_back_2026-05-11,21:15,-8,south_arrival,"Glacier Discovery, Whittier -> Anchorage"
R1796,2026-05-12T05:07:00,120,glacier_discovery_back_2026-05-11,21:15,-8,south_arrival,"Glacier Discovery, Whittier -> Anchorage"
K205,2026-05-12T17:53:00,120,glacier_discovery_out_2026-05-12,09:45,8,south,"Glacier Discovery, Anchorage -> Whittier / Spencer"
R1796,2026-05-12T17:53:00,120,glacier_discovery_out_2026-05-12,09:45,8,south,"Glacier Discovery, Anchorage -> Whittier / Spencer"
K208,2026-05-12T17:54:00,120,glacier_discovery_out_2026-05-12,09:45,9,south,"Glacier Discovery, Anchorage -> Whittier / Spencer"
R6C15,2026-05-12T17:54:00,120,glacier_discovery_out_2026-05-12,09:45,9,south,"Glacier Discovery, Anchorage -> Whittier / Spencer"
R8F48,2026-05-12T17:54:00,120,glacier_discovery_out_2026-05-12,09:45,9,south,"Glacier Discovery, Anchorage -> Whittier / Spencer"
S909E,2026-05-12T17:54:00,120,glacier_discovery_out_2026-05-12,09:45,9,south,"Glacier Discovery, Anchorage -> Whittier / Spencer"
K222,2026-05-12T18:15:00,120,glacier_discovery_out_2026-05-12,09:45,30,south,"Glacier Discovery, Anchorage -> Whittier / Spencer"
K222,2026-05-13T04:45:00,120,glacier_discovery_back_2026-05-12,21:15,-30,south_arrival,"Glacier Discovery, Whittier -> Anchorage"
K208,2026-05-13T05:06:00,120,glacier_discovery_back_2026-05-12,21:15,-9,south_arrival,"Glacier Discovery, Whittier -> Anchorage"
R6C15,2026-05-13T05:06:00,120,glacier_discovery_back_2026-05-12,21:15,-9,south_arrival,"Glacier Discovery, Whittier -> Anchorage"
R8F48,2026-05-13T05:06:00,120,glacier_discovery_back_2026-05-12,21:15,-9,south_arrival,"Glacier Discovery, Whittier -> Anchorage"
S909E,2026-05-13T05:06:00,120,glacier_discovery_back_2026-05-12,21:15,-9,south_arrival,"Glacier Discovery, Whittier -> Anchorage"
K205,2026-05-13T05:07:00,120,glacier_discovery_back_2026-05-12,21:15,-8,south_arrival,"Glacier Discovery, Whittier -> Anchorage"
R1796,2026-05-13T05:07:00,120,glacier_discovery_back_2026-05-12,21:15,-8,south_arrival,"Glacier Discovery, Whittier -> Anchorage"
K223,2026-05-13T16:18:00,120,denali_star_out_2026-05-13,08:15,3,north,"Denali Star, Anchorage -> Fairbanks"
K217,2026-05-13T16:50:00,120,denali_star_out_2026-05-13,08:15,35,north,"Denali Star, Anchorage -> Fairbanks"
MS01,2026-05-13T17:30:00,120,denali_star_out_2026-05-13,08:15,75,north,"Denali Star, Anchorage -> Fairbanks"
K205,2026-05-13T17:53:00,120,glacier_discovery_out_2026-05-13,09:45,8,south,"Glacier Discovery, Anchorage -> Whittier / Spencer"
