window_id,event_id,network,station,location,channel,latitude,longitude,start_time,end_time,sampling_rate,native_sampling_rate,window_len_sec,p_offset_sec,window_type,label,label_name,label_method,source,bandpass_hz,rms,peak,rms_band,peak_band,band_ratio,stalta_band_max,kurtosis_band,reviewed,review_label
0,,AK,K222,,HNZ,61.0876,-149.8366,2026-07-19T09:04:00.000000Z,2026-07-19T09:05:00.000000Z,100.0,200.0,60.0,,noise,0,Noise,events:arr_summer_2026.csv,AK,2.0-20.0,6.269015396153603,54.76475109673373,5.565472314736934,51.409571563051216,0.7881436494960284,4.43495748069677,8.158966880318424,,
1,,AK,K222,,HNZ,61.0876,-149.8366,2026-07-19T09:05:00.000000Z,2026-07-19T09:06:00.000000Z,100.0,200.0,60.0,,noise,0,Noise,events:arr_summer_2026.csv,AK,2.0-20.0,4.963735734358899,53.37303240121726,4.074706534204963,51.85917252091325,0.6738688287671801,6.58645732362611,15.728203766469864,,
2,,AK,K222,,HNZ,61.0876,-149.8366,2026-07-19T09:14:00.000000Z,2026-07-19T09:15:00.000000Z,100.0,200.0,60.0,,noise,0,Noise,events:arr_summer_2026.csv,AK,2.0-20.0,3.8717043118855914,17.15220050600704,3.322445876031115,16.851617165403773,0.736396075564443,2.570094458071206,0.5768385527082351,,
3,,AK,K222,,HNZ,61.0876,-149.8366,2026-07-19T09:16:00.000000Z,2026-07-19T09:17:00.000000Z,100.0,200.0,60.0,,noise,0,Noise,events:arr_summer_2026.csv,AK,2.0-20.0,8.0648482933967,47.04004106017567,7.649854695678142,45.90338612931316,0.8997336584039016,4.765436056609785,2.398839420675846,,
4,,AK,K222,,HNZ,61.0876,-149.8366,2026-07-19T09:19:00.000000Z,2026-07-19T09:20:00.000000Z,100.0,200.0,60.0,,noise,0,Noise,events:arr_summer_2026.csv,AK,2.0-20.0,5.089385126445074,41.606726290975814,3.8249373537023947,37.126920795139064,0.5648303446600029,3.754797602252435,5.634890042569289,,
5,,AK,K222,,HNZ,61.0876,-149.8366,2026-07-19T09:20:00.000000Z,2026-07-19T09:21:00.000000Z,100.0,200.0,60.0,,noise,0,Noise,events:arr_summer_2026.csv,AK,2.0-20.0,4.27428302622631,15.326924489483302,2.5050782746218623,9.989801674707753,0.34349154306724805,1.6881195257507686,-0.1223936851221259,,
6,,AK,K222,,HNZ,61.0876,-149.8366,2026-07-19T09:21:00.000000Z,2026-07-19T09:22:00.000000Z,100.0,200.0,60.0,,noise,0,Noise,events:arr_summer_2026.csv,AK,2.0-20.0,7.25230332889403,66.8179029375226,5.785497451947123,63.13909724432227,0.6363990062307838,5.240465433137837,10.17175107044824,,
7,,AK,K222,,HNZ,61.0876,-149.8366,2026-07-19T09:22:00.000000Z,2026-07-19T09:23:00.000000Z,100.0,200.0,60.0,,noise,0,Noise,events:arr_summer_2026.csv,AK,2.0-20.0,6.391627226726024,37.01013761880976,4.31890236994572,35.82788358825282,0.45658737367158525,4.962518844521042,4.5813812713826305,,
8,,AK,K222,,HNZ,61.0876,-149.8366,2026-07-19T09:32:00.000000Z,2026-07-19T09:33:00.000000Z,100.0,200.0,60.0,,noise,0,Noise,events:arr_summer_2026.csv,AK,2.0-20.0,7.108232551613092,60.74803516210372,6.662566803179792,52.95561360978551,0.8785366785297098,5.701147328536928,9.532712874041549,,
9,,AK,K222,,HNZ,61.0876,-149.8366,2026-07-19T09:33:00.000000Z,2026-07-19T09:34:00.000000Z,100.0,200.0,60.0,,noise,0,Noise,events:arr_summer_2026.csv,AK,2.0-20.0,5.743222187350855,34.821507823496944,5.183413675054095,36.582032208667584,0.8145551692669192,4.265931130850096,4.280628920028937,,
