window_id,event_id,network,station,location,channel,latitude,longitude,start_time,end_time,sampling_rate,native_sampling_rate,window_len_sec,p_offset_sec,window_type,label,label_name,label_method,source,bandpass_hz,rms,peak,rms_band,peak_band,band_ratio,stalta_band_max,kurtosis_band,reviewed,review_label,day_night_ratio,night_rms_ref,burst_ratio
0,,AM,R1796,00,EHZ,61.1981981981982,-149.91291617029023,2026-09-09T09:00:59.996000Z,2026-09-09T09:01:59.996000Z,100.0,100.0,60.0,,noise,0,Noise,timeofday:America/Anchorage:day7-19:night1-5,AM,2.0-20.0,196.20354946450806,974.1205658430856,167.24856991644546,1021.5190319959122,0.7266262888269728,2.8704648180575365,0.8573599552936462,,,5.15,266.39065574664994,3.834665405709369
1,,AM,R1796,00,EHZ,61.1981981981982,-149.91291617029023,2026-09-09T09:01:59.996000Z,2026-09-09T09:02:59.996000Z,100.0,100.0,60.0,,noise,0,Noise,timeofday:America/Anchorage:day7-19:night1-5,AM,2.0-20.0,292.8338478627399,1812.121131386598,266.1262549616196,2046.6833670261005,0.8259103270191135,4.439724383312541,3.3976955688698256,,,5.15,266.39065574664994,7.683014861349314
2,,AM,R1796,00,EHZ,61.1981981981982,-149.91291617029023,2026-09-09T09:03:59.996000Z,2026-09-09T09:04:59.996000Z,100.0,100.0,60.0,,noise,0,Noise,timeofday:America/Anchorage:day7-19:night1-5,AM,2.0-20.0,299.27024826523757,2431.124074582623,271.30799264897604,2041.9556697128182,0.8218604629194654,4.482137123459275,5.385535913110147,,,5.15,266.39065574664994,7.6652676273105245
3,,AM,R1796,00,EHZ,61.1981981981982,-149.91291617029023,2026-09-09T09:04:59.996000Z,2026-09-09T09:05:59.996000Z,100.0,100.0,60.0,,noise,0,Noise,timeofday:America/Anchorage:day7-19:night1-5,AM,2.0-20.0,280.7477209978454,1779.125009882887,254.81224429909517,1794.331788419365,0.8237740499622153,4.712103730216439,2.7006692429144197,,,5.15,266.39065574664994,6.73571594840721
4,,AM,R1796,00,EHZ,61.1981981981982,-149.91291617029023,2026-09-09T09:05:59.996000Z,2026-09-09T09:06:59.996000Z,100.0,100.0,60.0,,noise,0,Noise,timeofday:America/Anchorage:day7-19:night1-5,AM,2.0-20.0,333.13540385887296,3864.1254618287,307.20586328376106,3979.483698610353,0.8503885838822609,6.101772671463631,22.713250190504652,,,5.15,266.39065574664994,14.93852585578313
5,,AM,R1796,00,EHZ,61.1981981981982,-149.91291617029023,2026-09-09T09:06:59.996000Z,2026-09-09T09:07:59.996000Z,100.0,100.0,60.0,,noise,0,Noise,timeofday:America/Anchorage:day7-19:night1-5,AM,2.0-20.0,367.1827295044394,4756.126551915234,340.5777202840187,4510.119935021907,0.8603357632848401,6.364522021422479,18.489500500605146,,,5.15,266.39065574664994,16.93047348969794
6,,AM,R1796,00,EHZ,61.1981981981982,-149.91291617029023,2026-09-09T09:07:59.996000Z,2026-09-09T09:08:59.996000Z,100.0,100.0,60.0,,noise,0,Noise,timeofday:America/Anchorage:day7-19:night1-5,AM,2.0-20.0,287.13943912623665,2272.8713706010117,258.6515049117701,2269.7250904952557,0.8114174136159154,3.3219932620848502,5.2906679399998975,,,5.15,266.39065574664994,8.520287936277581
7,,AM,R1796,00,EHZ,61.1981981981982,-149.91291617029023,2026-09-09T09:08:59.996000Z,2026-09-09T09:09:59.996000Z,100.0,100.0,60.0,,noise,0,Noise,timeofday:America/Anchorage:day7-19:night1-5,AM,2.0-20.0,280.32298158295845,2091.1289220447156,252.55342717207566,1944.2289969905912,0.811687999355564,3.2807010954500675,3.545883226555512,,,5.15,266.39065574664994,7.298412894931437
8,,AM,R1796,00,EHZ,61.1981981981982,-149.91291617029023,2026-09-09T09:09:59.996000Z,2026-09-09T09:10:59.996000Z,100.0,100.0,60.0,,noise,0,Noise,timeofday:America/Anchorage:day7-19:night1-5,AM,2.0-20.0,320.17726207384334,2191.130850008319,295.54349997493165,2071.028080124715,0.8520436639399444,5.120096250529828,5.924911198488436,,,5.15,266.39065574664994,7.774402125029341
9,,AM,R1796,00,EHZ,61.1981981981982,-149.91291617029023,2026-09-09T09:10:59.996000Z,2026-09-09T09:11:59.996000Z,100.0,100.0,60.0,,noise,0,Noise,timeofday:America/Anchorage:day7-19:night1-5,AM,2.0-20.0,292.6673633966208,2995.868982228191,267.5588099781096,2967.609951801017,0.8357760487418237,6.887337372682797,15.414329722770496,,,5.15,266.39065574664994,11.140067745556937
