window_id,event_id,network,station,location,channel,latitude,longitude,start_time,end_time,sampling_rate,native_sampling_rate,window_len_sec,p_offset_sec,window_type,label,label_name,label_method,source,bandpass_hz,rms,peak,rms_band,peak_band,band_ratio,stalta_band_max,kurtosis_band,reviewed,review_label,night_rms_ref,burst_ratio
0,,AM,R1796,00,EHZ,61.1981981981982,-149.91291617029023,2026-09-12T09:00:59.996000Z,2026-09-12T09:01:59.996000Z,100.0,100.0,60.0,,noise,0,Noise,timeofday:America/Anchorage:day7-19:night1-5,AM,2.0-20.0,469.3170815939466,2594.1921084867863,412.09060395376935,2322.750630802165,0.7709970242944706,5.841414145705258,3.202540817381446,,,286.3362681107586,8.111967953370456
1,,AM,R1796,00,EHZ,61.1981981981982,-149.91291617029023,2026-09-12T09:01:59.996000Z,2026-09-12T09:02:59.996000Z,100.0,100.0,60.0,,noise,0,Noise,timeofday:America/Anchorage:day7-19:night1-5,AM,2.0-20.0,268.4530846342405,2095.8070210665537,240.6760492897726,2014.8744341186598,0.8037647406055674,5.33062470223494,4.984610796135066,,,286.3362681107586,7.036741965706139
2,,AM,R1796,00,EHZ,61.1981981981982,-149.91291617029023,2026-09-12T09:02:59.996000Z,2026-09-12T09:03:59.996000Z,100.0,100.0,60.0,,noise,0,Noise,timeofday:America/Anchorage:day7-19:night1-5,AM,2.0-20.0,339.7002668166934,2270.193646314936,311.70206838982784,2509.3012412391636,0.8419525030118162,4.597120430635496,5.678384725101781,,,286.3362681107586,8.763476795292076
3,,AM,R1796,00,EHZ,61.1981981981982,-149.91291617029023,2026-09-12T09:03:59.996000Z,2026-09-12T09:04:59.996000Z,100.0,100.0,60.0,,traffic,1,Traffic,timeofday:America/Anchorage:day7-19:night1-5+burst>=20x,AM,2.0-20.0,807.844537544551,8380.194059279198,781.623994051839,7887.655853878328,0.93613865838245,7.196453301633094,17.247898060811906,,,286.3362681107586,27.54682774180489
4,,AM,R1796,00,EHZ,61.1981981981982,-149.91291617029023,2026-09-12T09:04:59.996000Z,2026-09-12T09:05:59.996000Z,100.0,100.0,60.0,,noise,0,Noise,timeofday:America/Anchorage:day7-19:night1-5,AM,2.0-20.0,349.51105875039195,2342.805463615281,314.9153077676352,2574.26203984155,0.8118311297640523,5.2290279943122675,4.586693355734669,,,286.3362681107586,8.990345710749404
5,,AM,R1796,00,EHZ,61.1981981981982,-149.91291617029023,2026-09-12T09:05:59.996000Z,2026-09-12T09:06:59.996000Z,100.0,100.0,60.0,,noise,0,Noise,timeofday:America/Anchorage:day7-19:night1-5,AM,2.0-20.0,305.4074846244045,2219.804548357606,268.847000110074,2343.299169812398,0.7749095932827721,4.911318843946717,2.7735186611105886,,,286.3362681107586,8.183731614836788
6,,AM,R1796,00,EHZ,61.1981981981982,-149.91291617029023,2026-09-12T09:06:59.996000Z,2026-09-12T09:07:59.996000Z,100.0,100.0,60.0,,noise,0,Noise,timeofday:America/Anchorage:day7-19:night1-5,AM,2.0-20.0,343.4732236734902,2895.195835220784,312.23171550753824,2791.415808818748,0.8263580422477448,6.482737279501508,11.27830497356126,,,286.3362681107586,9.748732939897755
7,,AM,R1796,00,EHZ,61.1981981981982,-149.91291617029023,2026-09-12T09:07:59.996000Z,2026-09-12T09:08:59.996000Z,100.0,100.0,60.0,,noise,0,Noise,timeofday:America/Anchorage:day7-19:night1-5,AM,2.0-20.0,323.4406640253331,2400.196533745442,299.2641583159328,2163.7365130497283,0.8560914754508525,3.4381861909860016,4.657177402751461,,,286.3362681107586,7.556627483224607
8,,AM,R1796,00,EHZ,61.1981981981982,-149.91291617029023,2026-09-12T09:08:59.996000Z,2026-09-12T09:09:59.996000Z,100.0,100.0,60.0,,noise,0,Noise,timeofday:America/Anchorage:day7-19:night1-5,AM,2.0-20.0,542.0112155797748,5503.197060152841,468.7763735975735,5163.452223036154,0.7480228827222453,6.907389763053338,11.005037763885301,,,286.3362681107586,18.032826428536335
9,,AM,R1796,00,EHZ,61.1981981981982,-149.91291617029023,2026-09-12T09:09:59.996000Z,2026-09-12T09:10:59.996000Z,100.0,100.0,60.0,,noise,0,Noise,timeofday:America/Anchorage:day7-19:night1-5,AM,2.0-20.0,228.62076229477995,1450.8020527062,191.11487001766153,1286.8902214168018,0.6988076035623608,4.24724736224794,1.9600496237063707,,,286.3362681107586,4.494331891337691
