window_id,event_id,network,station,location,channel,latitude,longitude,start_time,end_time,sampling_rate,native_sampling_rate,window_len_sec,p_offset_sec,window_type,label,label_name,label_method,source,bandpass_hz,rms,peak,rms_band,peak_band,band_ratio,stalta_band_max,kurtosis_band,reviewed,review_label
0,,AK,K222,,HNZ,61.0876,-149.8366,2026-06-29T09:01:00.000000Z,2026-06-29T09:02:00.000000Z,100.0,200.0,60.0,,noise,0,Noise,events:arr_summer_2026.csv,AK,2.0-20.0,3.1303665546771677,14.878668319993324,2.5461673804468394,11.53794555280254,0.6615817405039197,1.9907830967382494,0.5163018494261564,,
1,,AK,K222,,HNZ,61.0876,-149.8366,2026-06-29T09:02:00.000000Z,2026-06-29T09:03:00.000000Z,100.0,200.0,60.0,,noise,0,Noise,events:arr_summer_2026.csv,AK,2.0-20.0,11.345880258076047,66.87751422029152,10.561288977071518,72.35413977181702,0.8664778400397094,4.238055386376573,4.783089469141078,,
2,,AK,K222,,HNZ,61.0876,-149.8366,2026-06-29T09:11:00.000000Z,2026-06-29T09:12:00.000000Z,100.0,200.0,60.0,,noise,0,Noise,events:arr_summer_2026.csv,AK,2.0-20.0,3.9272778321667587,26.92529931355113,3.5869751906893206,29.06877576982302,0.8342063539195246,5.245721398252398,5.655213723137052,,
3,,AK,K222,,HNZ,61.0876,-149.8366,2026-06-29T09:13:00.000000Z,2026-06-29T09:14:00.000000Z,100.0,200.0,60.0,,noise,0,Noise,events:arr_summer_2026.csv,AK,2.0-20.0,10.569111913952764,70.68954738221379,10.014619480518828,63.03794912848055,0.897825449217597,3.769858767335323,5.340913465134777,,
4,,AK,K222,,HNZ,61.0876,-149.8366,2026-06-29T09:16:00.000000Z,2026-06-29T09:17:00.000000Z,100.0,200.0,60.0,,noise,0,Noise,events:arr_summer_2026.csv,AK,2.0-20.0,8.294925210466603,69.96936733709597,7.775602266333859,60.48735727931823,0.8787050575133349,3.9180931367313434,4.556377046201757,,
5,,AK,K222,,HNZ,61.0876,-149.8366,2026-06-29T09:17:00.000000Z,2026-06-29T09:18:00.000000Z,100.0,200.0,60.0,,noise,0,Noise,events:arr_summer_2026.csv,AK,2.0-20.0,11.095049364254068,91.11227099063439,10.875466102705309,87.82376765657432,0.9608094823250134,5.583590306966232,7.967285750908536,,
6,,AK,K222,,HNZ,61.0876,-149.8366,2026-06-29T09:18:00.000000Z,2026-06-29T09:19:00.000000Z,100.0,200.0,60.0,,noise,0,Noise,events:arr_summer_2026.csv,AK,2.0-20.0,6.961196331550837,51.45828038998165,6.656979916732532,52.79644206389844,0.9145063558564872,5.7276528682390175,7.694945437222204,,
7,,AK,K222,,HNZ,61.0876,-149.8366,2026-06-29T09:19:00.000000Z,2026-06-29T09:20:00.000000Z,100.0,200.0,60.0,,noise,0,Noise,events:arr_summer_2026.csv,AK,2.0-20.0,13.59160778569988,120.53177358330626,13.136193201018573,110.76036192387129,0.9341086361913303,4.299461545058595,4.011767622888281,,
8,,AK,K222,,HNZ,61.0876,-149.8366,2026-06-29T09:29:00.000000Z,2026-06-29T09:30:00.000000Z,100.0,200.0,60.0,,noise,0,Noise,events:arr_summer_2026.csv,AK,2.0-20.0,3.238540337417788,16.453788921431794,2.7735743011217004,12.022590452666336,0.7334676905701708,2.398275866787768,0.633330885267616,,
9,,AK,K222,,HNZ,61.0876,-149.8366,2026-06-29T09:30:00.000000Z,2026-06-29T09:31:00.000000Z,100.0,200.0,60.0,,noise,0,Noise,events:arr_summer_2026.csv,AK,2.0-20.0,7.125824289640515,55.27752330519947,6.629693132426385,50.39755571191749,0.8655987788684424,3.5082554290628614,8.153409305421315,,
