window_id,event_id,network,station,location,channel,latitude,longitude,start_time,end_time,sampling_rate,native_sampling_rate,window_len_sec,p_offset_sec,window_type,label,label_name,label_method,source,bandpass_hz,rms,peak,rms_band,peak_band,band_ratio,stalta_band_max,kurtosis_band,reviewed,review_label,night_rms_ref,burst_ratio
0,,AM,R1796,00,EHZ,61.1981981981982,-149.91291617029023,2026-09-07T09:00:59.996000Z,2026-09-07T09:01:59.996000Z,100.0,100.0,60.0,,noise,0,Noise,timeofday:America/Anchorage:day7-19:night1-5,AM,2.0-20.0,406.9631072101716,3331.140392830856,382.110602451493,3119.480187906345,0.8815929235056855,6.247135762030287,9.741812753199941,,,271.9905386435529,11.469076106336418
1,,AM,R1796,00,EHZ,61.1981981981982,-149.91291617029023,2026-09-07T09:01:59.996000Z,2026-09-07T09:02:59.996000Z,100.0,100.0,60.0,,noise,0,Noise,timeofday:America/Anchorage:day7-19:night1-5,AM,2.0-20.0,322.6462976363734,3446.141300489317,294.68046603902104,3175.625157602673,0.8341599301252963,6.062970412973867,16.255839392054433,,,271.9905386435529,11.675498616385221
2,,AM,R1796,00,EHZ,61.1981981981982,-149.91291617029023,2026-09-07T09:02:59.996000Z,2026-09-07T09:03:59.996000Z,100.0,100.0,60.0,,noise,0,Noise,timeofday:America/Anchorage:day7-19:night1-5,AM,2.0-20.0,349.5058706922021,3056.8547569461675,313.71518696434276,2906.339995671189,0.8056791722333401,5.372245886278851,11.949278599171341,,,271.9905386435529,10.68544520028318
3,,AM,R1796,00,EHZ,61.1981981981982,-149.91291617029023,2026-09-07T09:04:59.996000Z,2026-09-07T09:05:59.996000Z,100.0,100.0,60.0,,noise,0,Noise,timeofday:America/Anchorage:day7-19:night1-5,AM,2.0-20.0,278.2325609580353,1660.149456403708,234.73311299765527,1548.6391270962224,0.7117587426416837,4.080704717671355,3.3439688459434826,,,271.9905386435529,5.693724255334241
4,,AM,R1796,00,EHZ,61.1981981981982,-149.91291617029023,2026-09-07T09:05:59.996000Z,2026-09-07T09:06:59.996000Z,100.0,100.0,60.0,,noise,0,Noise,timeofday:America/Anchorage:day7-19:night1-5,AM,2.0-20.0,329.07115036464234,3328.150495938155,289.17732693363826,3746.070289105375,0.7722338935831692,5.6897626485168615,21.33062061115853,,,271.9905386435529,13.772796317796365
5,,AM,R1796,00,EHZ,61.1981981981982,-149.91291617029023,2026-09-07T09:06:59.996000Z,2026-09-07T09:07:59.996000Z,100.0,100.0,60.0,,noise,0,Noise,timeofday:America/Anchorage:day7-19:night1-5,AM,2.0-20.0,294.1279592442691,2597.152967118322,248.7803120319125,2511.238068290507,0.7154172326656331,5.556462675449534,7.44958126578012,,,271.9905386435529,9.232814056012135
6,,AM,R1796,00,EHZ,61.1981981981982,-149.91291617029023,2026-09-07T09:07:59.996000Z,2026-09-07T09:08:59.996000Z,100.0,100.0,60.0,,noise,0,Noise,timeofday:America/Anchorage:day7-19:night1-5,AM,2.0-20.0,534.3130409334831,5424.844672829013,502.33581486542636,4856.655866449088,0.8838869824357516,6.528453510945925,14.22720966249845,,,271.9905386435529,17.855973559483985
7,,AM,R1796,00,EHZ,61.1981981981982,-149.91291617029023,2026-09-07T09:08:59.996000Z,2026-09-07T09:09:59.996000Z,100.0,100.0,60.0,,noise,0,Noise,timeofday:America/Anchorage:day7-19:night1-5,AM,2.0-20.0,277.76059498538785,2312.843998678965,239.62959579739103,2257.958182247276,0.7442856449121938,4.960624645962687,6.062297015566456,,,271.9905386435529,8.301605612856848
8,,AM,R1796,00,EHZ,61.1981981981982,-149.91291617029023,2026-09-07T09:09:59.996000Z,2026-09-07T09:10:59.996000Z,100.0,100.0,60.0,,noise,0,Noise,timeofday:America/Anchorage:day7-19:night1-5,AM,2.0-20.0,316.7950305859077,2144.8414845951424,279.38198382436616,2437.1190115476657,0.7777500951207773,4.2664258515806965,5.122063789009378,,,271.9905386435529,8.960308044911597
9,,AM,R1796,00,EHZ,61.1981981981982,-149.91291617029023,2026-09-07T09:10:59.996000Z,2026-09-07T09:11:59.996000Z,100.0,100.0,60.0,,noise,0,Noise,timeofday:America/Anchorage:day7-19:night1-5,AM,2.0-20.0,285.9358868269807,2056.838619193693,248.91295879955788,2076.6817221082074,0.7578053784927655,6.300288557702959,7.726641281063257,,,271.9905386435529,7.635124855683769
