window_id,event_id,network,station,location,channel,latitude,longitude,start_time,end_time,sampling_rate,native_sampling_rate,window_len_sec,p_offset_sec,window_type,label,label_name,label_method,source,bandpass_hz,rms,peak,rms_band,peak_band,band_ratio,stalta_band_max,kurtosis_band,reviewed,review_label
0,,AK,K222,,HNZ,61.0876,-149.8366,2026-09-12T08:00:00.000000Z,2026-09-12T08:01:00.000000Z,100.0,200.0,60.0,,noise,0,Noise,events:arr_summer_2026.csv,AK,2.0-20.0,6.552732211488553,58.53263947910542,6.236536360561892,54.6943744817988,0.9058203582341311,6.329001522882283,13.362391126552687,,
1,,AK,K222,,HNZ,61.0876,-149.8366,2026-09-12T08:01:00.000000Z,2026-09-12T08:02:00.000000Z,100.0,200.0,60.0,,noise,0,Noise,events:arr_summer_2026.csv,AK,2.0-20.0,5.009268800898033,54.85855356758293,4.737800626892883,50.502213264201366,0.8945505527632525,5.636980685757399,15.844322273224435,,
2,,AK,K222,,HNZ,61.0876,-149.8366,2026-09-12T08:02:00.000000Z,2026-09-12T08:03:00.000000Z,100.0,200.0,60.0,,noise,0,Noise,events:arr_summer_2026.csv,AK,2.0-20.0,8.766039324355038,73.14890661028724,8.390476515758095,74.71466893629737,0.9161496567718895,4.330534080719822,11.83081168228438,,
3,,AK,K222,,HNZ,61.0876,-149.8366,2026-09-12T08:03:00.000000Z,2026-09-12T08:04:00.000000Z,100.0,200.0,60.0,,noise,0,Noise,events:arr_summer_2026.csv,AK,2.0-20.0,7.1031384797350645,58.682851840787,6.8233042902742795,54.926512106268206,0.9227603299181792,5.485716553776935,10.371489766158682,,
4,,AK,K222,,HNZ,61.0876,-149.8366,2026-09-12T08:04:00.000000Z,2026-09-12T08:05:00.000000Z,100.0,200.0,60.0,,noise,0,Noise,events:arr_summer_2026.csv,AK,2.0-20.0,13.53251186361498,105.2100741833717,13.337594734561947,118.0917953474403,0.9714002285626766,8.418521962138705,13.676120326106677,,
5,,AK,K222,,HNZ,61.0876,-149.8366,2026-09-12T08:05:00.000000Z,2026-09-12T08:06:00.000000Z,100.0,200.0,60.0,,noise,0,Noise,events:arr_summer_2026.csv,AK,2.0-20.0,6.083034088891152,59.71805375789781,5.750967420675981,58.08213791965477,0.8938019836831722,6.344597249935736,14.01220950718422,,
6,,AK,K222,,HNZ,61.0876,-149.8366,2026-09-12T08:06:00.000000Z,2026-09-12T08:07:00.000000Z,100.0,200.0,60.0,,noise,0,Noise,events:arr_summer_2026.csv,AK,2.0-20.0,6.944404881247589,60.720918279692306,6.714112470567345,56.826288133625155,0.9347751457466607,6.503316779829094,12.648074499919556,,
7,,AK,K222,,HNZ,61.0876,-149.8366,2026-09-12T08:07:00.000000Z,2026-09-12T08:08:00.000000Z,100.0,200.0,60.0,,noise,0,Noise,events:arr_summer_2026.csv,AK,2.0-20.0,10.363579565669768,62.940233309157996,9.523488482825599,70.6920451805781,0.8444472968129276,3.9576830832696426,5.854749678387744,,
8,,AK,K222,,HNZ,61.0876,-149.8366,2026-09-12T08:08:00.000000Z,2026-09-12T08:09:00.000000Z,100.0,200.0,60.0,,noise,0,Noise,events:arr_summer_2026.csv,AK,2.0-20.0,5.283419643564183,57.218629285730245,4.977114188032718,62.7036545522533,0.8874113852976535,6.198165857628794,17.75776854533164,,
9,,AK,K222,,HNZ,61.0876,-149.8366,2026-09-12T08:09:00.000000Z,2026-09-12T08:10:00.000000Z,100.0,200.0,60.0,,noise,0,Noise,events:arr_summer_2026.csv,AK,2.0-20.0,10.048043471163774,131.3456590800355,9.757037724309,153.85591039182057,0.9429158968457476,6.887906760147116,33.619057321641336,,
